Año,Departamento,"Tasa de mortalidad por causas externas por 100,000 habitantes",Número de fallecidos en accidentes de tránsito,Número de denuncias de violencia intrafamiliar,Número de homicidios por departamento,Porcentaje de niños con bajo peso al nacer,"Tasa de mortalidad por diarrea (A09) por cada 100,000 habitantes","Tasa bruta de mortalidad por cada 1,000 habitantes","Tasa de mortalidad por diabetes mellitus (E10-E14) por cada 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema circulatorio (I00-I99) por 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema respiratorio (J00-J99) por cada 10,000 habitantes",0,,,,,,,,,,,,,,,,,
2017,Totonicapán,57.6,11,445,15,18.4,24.6,5.6,33.0,42.1,6.2,,,,,,,,,,,,,,,,,,
2017,Quetzaltenango,67.8,51,"1,480",166,19.3,6.6,5.5,48.4,84.4,5.6,,,,,,,,,,,,,,,,,,
2017,Suchitepéquez,59.5,69,"2,048",91,9.6,4.1,5.4,28.7,43.0,3.2,,,,,,,,,,,,,,,,,,
2017,Retalhuleu,68.9,41,"1,502",70,8.4,4.4,5.6,31.5,45.7,3.1,,,,,,,,,,,,,,,,,,
2017,San Marcos,53.1,35,"1,842",116,13.2,16.1,4.7,32.6,77.8,8.0,,,,,,,,,,,,,,,,,,
2017,Huehuetenango,47.4,38,"1,111",80,10.9,16.9,3.8,27.2,66.8,6.5,,,,,,,,,,,,,,,,,,
2017,Quiché,45.2,37,705,36,12.6,17.9,4.1,20.0,38.6,5.7,,,,,,,,,,,,,,,,,,
2017,Baja Verapaz,66.8,15,651,27,13.9,14.2,4.7,31.2,109.0,5.9,,,,,,,,,,,,,,,,,,
2017,Alta Verapaz,41.2,64,"4,240",78,11.9,35.5,4.3,19.9,50.8,10.0,,,,,,,,,,,,,,,,,,
2017,Petén,91.9,91,"1,087",261,8.5,7.3,3.9,33.2,53.4,4.1,,,,,,,,,,,,,,,,,,
2017,Izabal,94.9,83,647,209,10.2,11.9,5.2,37.2,100.4,4.8,,,,,,,,,,,,,,,,,,
2017,Zacapa,115.5,29,706,150,14.4,8.7,6.3,51.3,175.7,6.2,,,,,,,,,,,,,,,,,,
2017,Chiquimula,102.5,41,455,244,15.6,11.0,5.5,30.2,139.0,7.2,,,,,,,,,,,,,,,,,,
2017,Jalapa,74.0,23,698,104,16.7,16.0,5.3,25.1,81.9,6.7,,,,,,,,,,,,,,,,,,
2017,Jutiapa,86.1,55,"1,139",147,12.8,3.6,5.6,42.1,170.1,4.9,,,,,,,,,,,,,,,,,,
2016,Guatemala,99.0,469,"6,053","1,710",13.4,6.7,6.1,54.2,96.1,5.1,,,,,,,,,,,,,,,,,,
2016,El Progreso,103.5,46,675,97,12.8,5.5,6.2,51.6,149.9,6.7,,,,,,,,,,,,,,,,,,
2016,Sacatepéquez,61.9,57,"1,477",39,15.4,8.8,5.0,54.5,82.8,5.1,,,,,,,,,,,,,,,,,,
2016,Chimaltenango,54.3,106,"1,694",107,15.5,11.5,4.7,35.1,66.4,7.2,,,,,,,,,,,,,,,,,,
2016,Escuintla,130.8,246,299,497,9.7,3.3,6.4,57.6,99.5,6.0,,,,,,,,,,,,,,,,,,
2016,Santa Rosa,96.5,77,"1,040",129,12.0,4.3,5.2,35.4,112.5,4.9,,,,,,,,,,,,,,,,,,
2016,Sololá,54.6,64,542,23,13.5,19.8,4.4,30.7,42.6,8.2,,,,,,,,,,,,,,,,,,
2016,Totonicapán,53.6,24,486,4,17.7,24.9,5.6,35.4,34.8,6.5,,,,,,,,,,,,,,,,,,
2016,Quetzaltenango,73.1,71,"1,898",129,18.9,7.9,5.9,50.5,94.8,6.3,,,,,,,,,,,,,,,,,,
2016,Suchitepéquez,64.0,87,"2,238",99,9.0,7.1,5.4,29.0,39.8,3.2,,,,,,,,,,,,,,,,,,
2016,Retalhuleu,71.5,46,"1,708",86,7.8,8.8,5.9,34.0,51.5,4.4,,,,,,,,,,,,,,,,,,
2016,San Marcos,49.7,52,"2,035",122,12.5,21.6,4.5,26.1,71.8,8.1,,,,,,,,,,,,,,,,,,
2016,Huehuetenango,45.3,65,"1,228",74,10.5,23.5,3.8,24.8,61.0,6.8,,,,,,,,,,,,,,,,,,
2016,Quiché,46.6,54,"1,002",27,12.9,24.4,4.1,18.0,39.4,5.8,,,,,,,,,,,,,,,,,,
2016,Baja Verapaz,70.2,34,771,28,13.7,8.4,4.9,31.4,113.8,7.1,,,,,,,,,,,,,,,,,,
2016,Alta Verapaz,43.7,70,"3,492",101,12.1,38.5,4.4,22.0,49.1,9.4,,,,,,,,,,,,,,,,,,
2016,Petén,95.4,94,"1,282",294,8.6,11.8,4.0,32.8,63.3,4.8,,,,,,,,,,,,,,,,,,
2016,Izabal,119.0,108,584,258,9.7,22.1,5.9,31.9,106.3,5.4,,,,,,,,,,,,,,,,,,
2016,Zacapa,126.7,78,538,157,13.9,11.0,6.7,47.4,194.3,5.9,,,,,,,,,,,,,,,,,,
2016,Chiquimula,94.6,61,429,229,12.0,10.1,5.4,34.0,139.7,6.9,,,,,,,,,,,,,,,,,,
2016,Jalapa,81.7,25,594,136,16.8,17.4,5.3,28.5,70.7,6.7,,,,,,,,,,,,,,,,,,
2016,Jutiapa,99.7,74,"1,059",175,11.8,3.7,5.7,41.9,173.6,4.3,,,,,,,,,,,,,,,,,,
2015,Guatemala,97.1,350,"6,410","1,550",13.4,5.1,6.1,54.3,100.4,4.9,,,,,,,,,,,,,,,,,,
2015,El Progreso,106.1,37,883,67,11.4,6.4,6.3,55.9,159.6,7.0,,,,,,,,,,,,,,,,,,
2015,Sacatepéquez,68.6,56,"1,613",54,16.1,1.5,4.8,43.5,76.2,5.1,,,,,,,,,,,,,,,,,,
2015,Chimaltenango,59.6,54,"1,824",120,14.9,5.4,4.4,32.4,65.6,6.9,,,,,,,,,,,,,,,,,,
2015,Escuintla,133.1,234,451,600,10.0,5.9,6.7,62.5,105.3,6.3,,,,,,,,,,,,,,,,,,
2015,Santa Rosa,102.3,58,964,189,11.8,5.5,5.9,43.5,117.7,5.0,,,,,,,,,,,,,,,,,,
2015,Sololá,61.8,49,646,18,12.0,13.5,4.4,27.5,38.8,8.2,,,,,,,,,,,,,,,,,,
2015,Totonicapán,59.4,30,519,13,16.7,26.9,5.5,38.5,51.1,10.5,,,,,,,,,,,,,,,,,,
2015,Quetzaltenango,74.3,82,"1,790",153,20.0,7.4,5.5,50.3,91.3,5.6,,,,,,,,,,,,,,,,,,
2015,Suchitepéquez,72.7,86,"2,250",137,9.1,4.9,5.8,33.7,40.1,3.8,,,,,,,,,,,,,,,,,,
2015,Retalhuleu,84.7,56,"1,512",112,8.0,6.9,6.0,46.4,70.0,5.0,,,,,,,,,,,,,,,,,,
2015,San Marcos,55.3,41,"2,072",123,13.7,24.0,4.8,31.4,75.9,8.2,,,,,,,,,,,,,,,,,,
2015,Huehuetenango,42.8,28,"1,024",87,9.6,24.1,3.7,26.4,53.7,6.8,,,,,,,,,,,,,,,,,,
2015,Quiché,47.1,41,"1,095",30,13.6,22.2,4.2,18.1,40.4,6.8,,,,,,,,,,,,,,,,,,
2015,Baja Verapaz,59.5,18,874,23,14.3,11.9,4.7,26.9,106.4,7.0,,,,,,,,,,,,,,,,,,
2015,Alta Verapaz,47.5,82,"3,485",99,11.3,37.8,4.2,17.7,44.7,9.6,,,,,,,,,,,,,,,,,,
2015,Petén,97.2,88,"1,295",326,8.0,7.8,3.8,36.2,52.4,3.6,,,,,,,,,,,,,,,,,,
2015,Izabal,115.5,86,580,259,9.3,11.8,5.5,37.8,98.0,4.3,,,,,,,,,,,,,,,,,,
2015,Zacapa,123.6,46,606,184,12.6,5.5,6.1,44.0,176.8,6.0,,,,,,,,,,,,,,,,,,
2015,Chiquimula,114.4,62,399,286,12.1,5.0,5.6,35.1,132.5,7.5,,,,,,,,,,,,,,,,,,
2015,Jalapa,91.9,27,732,151,17.6,16.2,5.2,28.3,106.8,6.0,,,,,,,,,,,,,,,,,,
2015,Jutiapa,97.4,68,862,197,11.6,5.5,5.8,45.0,169.3,4.8,,,,,,,,,,,,,,,,,,
2014,Guatemala,101.3,327,"5,777","1,776",12.9,5.8,6.2,56.5,100.7,4.6,,,,,,,,,,,,,,,,,,
2014,El Progreso,99.3,36,"1,081",68,11.1,4.4,6.0,50.7,165.3,5.3,,,,,,,,,,,,,,,,,,
2014,Sacatepéquez,66.0,37,"1,584",62,16.1,3.4,4.9,56.5,75.6,6.5,,,,,,,,,,,,,,,,,,
2014,Chimaltenango,61.4,80,"1,924",104,14.2,8.2,4.5,32.5,70.7,7.7,,,,,,,,,,,,,,,,,,
2014,Escuintla,124.5,173,569,555,9.6,6.7,6.5,60.6,95.6,5.3,,,,,,,,,,,,,,,,,,
2014,Santa Rosa,116.4,71,"1,321",196,11.1,4.6,5.6,35.2,121.8,4.3,,,,,,,,,,,,,,,,,,
2014,Sololá,58.2,31,996,18,12.7,17.0,4.4,29.8,41.3,9.0,,,,,,,,,,,,,,,,,,
2014,Totonicapán,62.0,27,634,19,16.8,29.2,5.1,33.5,60.5,10.6,,,,,,,,,,,,,,,,,,
2014,Quetzaltenango,76.8,67,"1,708",169,19.3,10.3,5.3,56.9,88.0,5.7,,,,,,,,,,,,,,,,,,
2014,Suchitepéquez,78.4,60,"2,503",182,8.2,6.4,5.5,44.7,60.1,5.2,,,,,,,,,,,,,,,,,,
2014,Retalhuleu,81.8,43,"1,715",120,8.8,10.7,5.6,54.5,94.7,4.9,,,,,,,,,,,,,,,,,,
2014,San Marcos,58.1,50,"2,210",130,13.1,17.3,4.5,27.4,73.6,7.4,,,,,,,,,,,,,,,,,,
2014,Huehuetenango,48.6,56,"1,385",86,9.6,21.9,3.6,23.2,56.6,6.7,,,,,,,,,,,,,,,,,,
